Comment,Designator,Footprint,LCSC,Quantity
470n,"C24,C25,C28,C30,C33,C39,C40",C_0805_2012Metric,C13967,7
100n,"C34,C35",C_0603_1608Metric,C14663,2
1N5819WS,"D2,D3,D4,D6",D_SOD-323,C191023,4
MC79M15_TO252,U4,TO-252-2,C19626424,1
220u,"C26,C3,C37,C4",CP_Elec_8x10.5,C2162304,4
100,"R30,R36",R_0603_1608Metric,C22775,2
120,"R12,R15,R33",R_0603_1608Metric,C22787,3
12k,"R18,R23",R_0603_1608Metric,C22790,2
1.5k,"R8,R9",R_0603_1608Metric,C22843,2
220k,"R1,R3",R_0603_1608Metric,C22961,2
220,"R20,R21",R_0603_1608Metric,C22962,2
470,"R14,R17",R_0603_1608Metric,C23179,2
5.1k,"R11,R13",R_0603_1608Metric,C23186,2
62k,"R6,R7",R_0603_1608Metric,C23221,2
68k,"R4,R5",R_0603_1608Metric,C23231,2
82k,"R26,R29",R_0603_1608Metric,C23254,2
MB10S,D1,TO-269AA,C2488,1
47k,"R24,R27,R32,R34,R35",R_0603_1608Metric,C25819,5
68,"R16,R19",R_0603_1608Metric,C27592,2
22k,"R28,R31",R_0603_1608Metric,C31850,2
2.2u,"C53,C54,C57,C58",C_0805_2012Metric,C377773,4
10u,"C44,C45,C46,C47,C49,C50,C51,C52",C_0805_2012Metric,C440198,8
10n,"C17,C18,C19,C20,C21,C23,C27,C29,C36,C38",C_0805_2012Metric,C441760,10
22uF,"C32,C41,C55,C56",C_0805_2012Metric,C45783,4
100n,"C42,C43",C_0805_2012Metric,C49678,2
220p,"C12,C13",C_0603_1608Metric,C519500,2
100p,"C1,C5",C_0603_1608Metric,C55722,2
22uF,"C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96",C_0603_1608Metric,C59461,20
NE5532,"U1,U5",SOIC-8_3.9x4.9mm_P1.27mm,C7426,2
200,"R22,R25",R_0603_1608Metric,C8218,2
4.7n,"C10,C11,C22,C31,C6,C7,C8,C9",C_0603_1608Metric,C883564,8
MC78M15_TO252,U3,TO-252-2,C95992,1
Conn_01x02,J4,SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm_Relief,,1
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,,1
MountingHole_Pad,H2,MountingHole_3.2mm_M3_DIN965_Pad,,1
LED,D5,LED_D5.0mm,,1
MountingHole_Pad,H1,MountingHole_3.2mm_M3_DIN965_Pad,,1
MountingHole_Pad,H4,MountingHole_3.2mm_M3_DIN965_Pad,,1
MountingHole_Pad,H3,MountingHole_3.2mm_M3_DIN965_Pad,,1
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,,1
BV302D18028,T1,BV302D18028,,1
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,,1
